month,views,article,access_type
2018-12-01,12440,Giganotosaurus,mobile
2019-01-01,14469,Giganotosaurus,mobile
2019-02-01,14599,Giganotosaurus,mobile
2019-03-01,18039,Giganotosaurus,mobile
2019-04-01,14157,Giganotosaurus,mobile
2019-05-01,13025,Giganotosaurus,mobile
2019-06-01,12887,Giganotosaurus,mobile
2019-07-01,13045,Giganotosaurus,mobile
2019-08-01,12096,Giganotosaurus,mobile
2019-09-01,11753,Giganotosaurus,mobile
2019-10-01,10524,Giganotosaurus,mobile
2019-11-01,10218,Giganotosaurus,mobile
2019-12-01,12833,Giganotosaurus,mobile
2020-01-01,13357,Giganotosaurus,mobile
2020-02-01,11945,Giganotosaurus,mobile
2020-03-01,12764,Giganotosaurus,mobile
2020-04-01,18196,Giganotosaurus,mobile
2020-05-01,16403,Giganotosaurus,mobile
2020-06-01,14569,Giganotosaurus,mobile
2020-07-01,16818,Giganotosaurus,mobile
2020-08-01,18728,Giganotosaurus,mobile
2020-09-01,14025,Giganotosaurus,mobile
2020-10-01,12893,Giganotosaurus,mobile
2020-11-01,15236,Giganotosaurus,mobile
2020-12-01,15111,Giganotosaurus,mobile
2021-01-01,17005,Giganotosaurus,mobile
2021-02-01,15328,Giganotosaurus,mobile
2021-03-01,16496,Giganotosaurus,mobile
2021-04-01,13998,Giganotosaurus,mobile
2021-05-01,13396,Giganotosaurus,mobile
2021-06-01,22903,Giganotosaurus,mobile
2021-07-01,16359,Giganotosaurus,mobile
2021-08-01,13393,Giganotosaurus,mobile
2021-09-01,11462,Giganotosaurus,mobile
2021-10-01,10584,Giganotosaurus,mobile
2021-11-01,15930,Giganotosaurus,mobile
2021-12-01,14345,Giganotosaurus,mobile
2022-01-01,15124,Giganotosaurus,mobile
2022-02-01,16826,Giganotosaurus,mobile
2022-03-01,12934,Giganotosaurus,mobile
2022-04-01,24664,Giganotosaurus,mobile
2022-05-01,27443,Giganotosaurus,mobile
2022-06-01,165007,Giganotosaurus,mobile
2022-07-01,88920,Giganotosaurus,mobile
2022-08-01,46141,Giganotosaurus,mobile
2022-09-01,44793,Giganotosaurus,mobile
2015-07-01,4743,Therizinosaurus,mobile
2015-08-01,3598,Therizinosaurus,mobile
2015-09-01,3303,Therizinosaurus,mobile
2015-10-01,4030,Therizinosaurus,mobile
2015-11-01,3343,Therizinosaurus,mobile
2015-12-01,3676,Therizinosaurus,mobile
2016-01-01,3554,Therizinosaurus,mobile
2016-02-01,2963,Therizinosaurus,mobile
2016-03-01,3046,Therizinosaurus,mobile
2016-04-01,3903,Therizinosaurus,mobile
2016-05-01,3094,Therizinosaurus,mobile
2016-06-01,3138,Therizinosaurus,mobile
2016-07-01,3392,Therizinosaurus,mobile
2016-08-01,2685,Therizinosaurus,mobile
2016-09-01,2634,Therizinosaurus,mobile
2016-10-01,2802,Therizinosaurus,mobile
2016-11-01,3125,Therizinosaurus,mobile
2016-12-01,4299,Therizinosaurus,mobile
2017-01-01,7779,Therizinosaurus,mobile
2017-02-01,6910,Therizinosaurus,mobile
2017-03-01,6963,Therizinosaurus,mobile
2017-04-01,5611,Therizinosaurus,mobile
2017-05-01,5093,Therizinosaurus,mobile
2017-06-01,4331,Therizinosaurus,mobile
2017-07-01,4639,Therizinosaurus,mobile
2017-08-01,4059,Therizinosaurus,mobile
2017-09-01,4012,Therizinosaurus,mobile
2017-10-01,4198,Therizinosaurus,mobile
2017-11-01,4493,Therizinosaurus,mobile
2017-12-01,5678,Therizinosaurus,mobile
2018-01-01,5967,Therizinosaurus,mobile
2018-02-01,5161,Therizinosaurus,mobile
2018-03-01,5755,Therizinosaurus,mobile
2018-04-01,5284,Therizinosaurus,mobile
2018-05-01,5702,Therizinosaurus,mobile
2018-06-01,7937,Therizinosaurus,mobile
2018-07-01,8185,Therizinosaurus,mobile
2018-08-01,6025,Therizinosaurus,mobile
2018-09-01,4710,Therizinosaurus,mobile
2018-10-01,4642,Therizinosaurus,mobile
2018-11-01,3986,Therizinosaurus,mobile
2018-12-01,6819,Therizinosaurus,mobile
2019-01-01,5442,Therizinosaurus,mobile
2019-02-01,7013,Therizinosaurus,mobile
2019-03-01,6366,Therizinosaurus,mobile
2019-04-01,4711,Therizinosaurus,mobile
2019-05-01,4641,Therizinosaurus,mobile
2019-06-01,4549,Therizinosaurus,mobile
2019-07-01,5305,Therizinosaurus,mobile
2019-08-01,5047,Therizinosaurus,mobile
2019-09-01,4755,Therizinosaurus,mobile
2019-10-01,4160,Therizinosaurus,mobile
2019-11-01,4279,Therizinosaurus,mobile
2019-12-01,4923,Therizinosaurus,mobile
2020-01-01,5996,Therizinosaurus,mobile
2020-02-01,4907,Therizinosaurus,mobile
2020-03-01,5386,Therizinosaurus,mobile
2020-04-01,7448,Therizinosaurus,mobile
2020-05-01,6428,Therizinosaurus,mobile
2020-06-01,5820,Therizinosaurus,mobile
2020-07-01,6067,Therizinosaurus,mobile
2020-08-01,5733,Therizinosaurus,mobile
2020-09-01,5133,Therizinosaurus,mobile
2020-10-01,6536,Therizinosaurus,mobile
2020-11-01,7933,Therizinosaurus,mobile
2020-12-01,6900,Therizinosaurus,mobile
2021-01-01,6987,Therizinosaurus,mobile
2021-02-01,6189,Therizinosaurus,mobile
2021-03-01,6448,Therizinosaurus,mobile
2021-04-01,6343,Therizinosaurus,mobile
2021-05-01,6524,Therizinosaurus,mobile
2021-06-01,6376,Therizinosaurus,mobile
2021-07-01,5715,Therizinosaurus,mobile
2021-08-01,6321,Therizinosaurus,mobile
2021-09-01,4823,Therizinosaurus,mobile
2021-10-01,5038,Therizinosaurus,mobile
2021-11-01,4565,Therizinosaurus,mobile
2021-12-01,9869,Therizinosaurus,mobile
2022-01-01,7179,Therizinosaurus,mobile
2022-02-01,9765,Therizinosaurus,mobile
2022-03-01,8377,Therizinosaurus,mobile
2022-04-01,9690,Therizinosaurus,mobile
2022-05-01,14672,Therizinosaurus,mobile
2022-06-01,155431,Therizinosaurus,mobile
2022-07-01,70089,Therizinosaurus,mobile
2022-08-01,38458,Therizinosaurus,mobile
2022-09-01,36097,Therizinosaurus,mobile
2015-07-01,142284,Velociraptor,mobile
2015-08-01,53874,Velociraptor,mobile
2015-09-01,36498,Velociraptor,mobile
2015-10-01,63287,Velociraptor,mobile
2015-11-01,51807,Velociraptor,mobile
2015-12-01,44650,Velociraptor,mobile
2016-01-01,42780,Velociraptor,mobile
2016-02-01,33996,Velociraptor,mobile
2016-03-01,59266,Velociraptor,mobile
2016-04-01,52179,Velociraptor,mobile
2016-05-01,52687,Velociraptor,mobile
2016-06-01,54219,Velociraptor,mobile
2016-07-01,36633,Velociraptor,mobile
2016-08-01,30182,Velociraptor,mobile
2016-09-01,32191,Velociraptor,mobile
2016-10-01,25919,Velociraptor,mobile
2016-11-01,26304,Velociraptor,mobile
2016-12-01,33370,Velociraptor,mobile
2017-01-01,34874,Velociraptor,mobile
2017-02-01,29169,Velociraptor,mobile
2017-03-01,40685,Velociraptor,mobile
2017-04-01,41504,Velociraptor,mobile
2017-05-01,34534,Velociraptor,mobile
2017-06-01,28964,Velociraptor,mobile
2017-07-01,29477,Velociraptor,mobile
2017-08-01,24241,Velociraptor,mobile
2017-09-01,21758,Velociraptor,mobile
2017-10-01,25910,Velociraptor,mobile
2017-11-01,28155,Velociraptor,mobile
2017-12-01,38035,Velociraptor,mobile
2018-01-01,37620,Velociraptor,mobile
2018-02-01,31640,Velociraptor,mobile
2018-03-01,34540,Velociraptor,mobile
2018-04-01,38909,Velociraptor,mobile
2018-05-01,50817,Velociraptor,mobile
2018-06-01,127984,Velociraptor,mobile
2018-07-01,122015,Velociraptor,mobile
2018-08-01,52616,Velociraptor,mobile
2018-09-01,45616,Velociraptor,mobile
2018-10-01,36250,Velociraptor,mobile
2018-11-01,34320,Velociraptor,mobile
2018-12-01,35443,Velociraptor,mobile
2019-01-01,39905,Velociraptor,mobile
2019-02-01,36304,Velociraptor,mobile
2019-03-01,47466,Velociraptor,mobile
2019-04-01,42625,Velociraptor,mobile
2019-05-01,55334,Velociraptor,mobile
2019-06-01,45889,Velociraptor,mobile
2019-07-01,38423,Velociraptor,mobile
2019-08-01,33032,Velociraptor,mobile
